,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TAMU-CONNOR MCINTYRE,1,0,0,0,0,1,5,0,0,0,0,0,0
SHSU-HAYDEN BOYES,1,1,0,0,1,0,2,1,0,0,0,0,0
SHSU-11,0,0,0,0,0,0,1,0,0,0,0,0,0
SHSU-KEENAN NASH,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,0,0,0,0,0,1,0,0,0,0,0,0
SHSU-21,0,0,0,0,0,1,1,0,0,0,0,0,0
SHSU-HALEY DUPRE,0,0,0,0,0,1,1,0,0,0,0,0,0
TAMU-TYLER PEARSON,0,0,0,0,1,1,1,0,0,0,0,0,0
SHSU-CHRIS DORSEY,2,0,0,0,0,1,0,0,0,0,0,0,0
SHSU-23,1,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-87,1,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-HAYDAN ALTMAN,1,1,0,0,3,3,0,0,0,0,0,0,0
SHSU-10,0,0,0,0,1,0,0,0,0,0,0,0,0
SHSU-25,0,1,0,0,0,0,0,0,0,0,0,0,0
SHSU-31,0,1,0,0,0,0,0,0,0,0,0,0,0
TAMU-ANGELA HEMBREE,0,0,2,0,0,0,0,0,0,0,0,0,0
TAMU-MILES TRAVIS,0,0,1,0,0,0,0,0,0,0,0,0,0
SHSU-THOMAS MORGAN,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-CAMERON VILLAMIL,0,0,0,0,0,2,0,0,0,0,0,0,0
