,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-JOHN ANDERSON,1,3,0,0,0,1,3,0,1,0,0,0,0
TEXAS-NICK MARINO,2,1,0,0,1,3,2,0,0,0,0,0,0
TAMU-SHAWN ERWIN,1,0,0,1,0,0,2,0,0,0,0,0,0
TAMU-JESSICA HEMBREE,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,0,4,0,0,0,0,2,0,0,0,0,0,0
TEXAS-JOCELYN WHISTLER,0,1,0,0,0,0,2,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,0,0,0,0,2,1,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,1,0,0,0,0,0,0,0,0,0,0,0,0
TAMU-LOUIS SANCHEZ,1,0,0,0,0,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,1,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-UNK,1,0,0,0,0,0,0,0,0,1,0,0,0
TAMU-ALEX STEWART,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-DANIEL SOBARZO,0,0,0,0,0,0,0,0,0,0,1,0,1
TAMU-NICK ROY,0,0,1,0,0,0,0,0,0,1,0,0,0
TAMU-RACHEL NICOLETTI,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,1,0,0,0,0,0,0,1,0,0,0
TEXAS-TATE KAY,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-LANDIS WALTHER,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-MCKENZIE CONNELL,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-MIGUEL SOBARZO,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-UNK,0,0,0,0,0,1,0,0,0,2,0,0,0
TEXAS-ANDRES GARZA,0,0,0,0,0,1,0,0,0,0,1,0,1
TEXAS-SIMON ARENDS,0,0,0,0,0,1,0,0,0,0,0,0,0
