,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-LUKE MEISSNER,2,0,0,0,0,1,3,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,1,0,0,1,1,3,0,0,0,0,0,1
KANSAS-UNK,1,0,0,0,0,1,2,0,0,0,0,0,0
TEXAS-KASYE BEVERS,0,0,0,0,0,0,2,0,0,0,0,0,0
TEXAS-DAVIS ROE,0,1,0,0,0,1,2,0,0,0,0,0,0
KANSAS-15,0,0,0,0,1,0,1,0,0,0,0,0,0
TEXAS-GRAYSON BRIGGS,0,0,0,0,0,0,1,0,0,0,0,0,0
KANSAS-85,0,0,0,0,0,1,1,0,0,0,0,0,0
KANSAS-RACHEL HEALD,1,1,0,0,0,1,0,0,0,0,0,0,0
TEXAS-JOSH JOHNSON,1,0,0,0,0,1,0,0,0,0,0,0,0
KANSAS-BRANDON TABOR,1,0,0,0,0,2,0,0,0,0,0,0,0
KANSAS-IAN MCCABE,0,0,0,0,1,0,0,0,0,0,0,0,0
KANSAS-MIKE DEVINE,0,0,0,0,0,0,0,0,0,0,0,0,1
TEXAS-DYLAN BOTTOMS,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-JOEY CASTELLANO,0,0,0,0,0,0,0,0,1,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,1,0,0,0,0,0,0,0,0,0,0
KANSAS-RYAN DICKEY,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-JACK WANG,0,0,2,0,0,1,0,0,0,0,0,0,0
TEXAS-RICHMOND KEELING,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-UNK,0,0,0,0,0,1,0,0,0,0,0,0,0
KANSAS-BEN ENGELS,0,0,0,0,0,2,0,0,0,0,0,0,1
