,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
ROCHESTER-BASEM ASHKAR,2,2,0,0,0,3,7,0,0,0,0,0,1
UTSA-AUSTIN VILLEJO,1,0,0,0,0,0,4,0,0,0,0,0,1
UTSA-UNK,1,0,1,0,1,1,2,0,0,0,0,0,0
ROCHESTER-95,1,0,0,0,0,1,1,0,0,0,0,0,0
ROCHESTER-33,0,0,0,0,1,0,1,0,0,0,0,0,0
ROCHESTER-EMMA FOLEY,0,0,0,0,0,0,1,0,0,0,0,0,1
UTSA-CHUCKY SEPULVEDA,0,0,0,0,0,0,1,0,0,1,0,0,1
UTSA-TYLER ZREET,0,0,0,0,0,0,1,0,0,0,0,0,1
UTSA-MIGUEL ESPARZA,2,0,0,0,0,0,0,0,0,0,0,0,1
ROCHESTER-34,1,0,0,0,0,0,0,0,0,0,0,0,0
UTSA-17,1,0,0,0,0,0,0,0,0,0,0,0,0
ROCHESTER-MIKE PASCUTOI,0,1,0,0,0,0,0,1,0,0,0,0,0
ROCHESTER-PERRY WANG,0,0,1,0,0,0,0,0,0,2,0,0,0
ROCHESTER-SAMANTHA DINGA,0,0,0,0,1,0,0,0,0,0,0,0,0
ROCHESTER-STEVEN BELITZKY,0,0,0,0,0,0,0,0,0,1,0,0,0
UTSA-95,0,0,0,0,0,0,0,0,0,0,0,0,1
UTSA-DANIEL WILLIAMS,0,0,1,0,0,0,0,0,0,0,0,0,1
UTSA-JONATHAN GARCIA,0,0,1,0,0,0,0,0,0,0,0,0,0
ROCHESTER-OWYN GUINNIP,0,1,0,0,1,1,0,0,0,0,0,0,1
UTSA-RENN LEBER,0,0,0,0,0,2,0,0,0,0,0,0,0
