,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
TEXAS-CULLEN FRIDAY,0,0,0,0,0,1,3,0,0,0,0,0,0
TEXAS-NICK MARINO,0,1,0,0,0,1,3,0,0,0,0,0,1
TAMU-LOUIS SANCHEZ,1,0,0,0,0,0,2,0,0,0,0,0,0
TAMU-15,2,1,0,0,0,2,1,0,0,0,0,0,0
TAMU-SAM HAIMOWITZ,1,1,0,0,0,2,1,0,0,0,0,0,0
TAMU-CONNOR MCINTYRE,0,1,0,0,0,0,1,0,0,0,0,0,0
TAMU-LOGAN ZAHN,0,0,0,0,0,0,1,0,0,0,0,0,0
TAMU-RACHEL NICOLETTI,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,0,0,0,0,1,0,1,0,0,0,0,0,0
TEXAS-AIDAN PARSI,2,0,0,0,0,0,0,0,0,0,0,0,1
TEXAS-ERIN MCBRIDE,1,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-ALEXIS WIEN,0,0,1,0,0,0,0,0,0,0,0,0,0
TAMU-DANIEL SOBARZO,0,0,1,0,0,0,0,0,0,0,0,0,1
TAMU-NICK ROY,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-DAVID HUBER,0,0,0,0,0,0,0,1,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-HALLIE PACE,0,0,2,0,0,0,0,0,0,0,0,0,0
TEXAS-KYLIE MCBRIDE,0,0,0,0,0,0,0,0,0,1,0,0,0
TAMU-SHAWN ERWIN,0,0,0,0,0,1,0,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,0,0,0,0,1,0,0,0,0,0,0,0
TAMU-1,0,0,0,0,1,2,0,0,0,0,0,0,0
