,Assists,Ball Turnovers Forced,Beat Turnovers Forced,Blue Cards,Contact Turnovers Forced,Errors,Goals,ISR Snitch Catches,OSR Snitch Catches,Resets Forced,Second Yellow Cards,Straight Red Cards,Yellow Cards
ROCHESTER-BASEM ASHKAR,2,1,0,0,0,3,4,0,0,0,0,0,0
TEXAS-AIDAN PARSI,1,1,0,0,0,2,3,0,0,0,0,0,0
TEXAS-JOHN ANDERSON,2,0,0,0,0,1,2,0,0,0,0,0,0
TEXAS-CULLEN FRIDAY,0,1,0,0,0,1,2,0,0,0,0,0,0
ROCHESTER-33,0,0,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-95,0,1,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-UNK,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-DYLAN BOTTOMS,0,0,0,0,0,0,1,0,0,0,0,0,0
TEXAS-ERIN MCBRIDE,0,0,0,0,0,0,1,0,0,0,0,0,0
ROCHESTER-MIKE PASCUTOI,0,0,0,0,0,0,0,1,0,0,0,0,0
ROCHESTER-PERRY WANG,0,0,0,0,0,0,0,0,0,1,0,0,0
ROCHESTER-STEVEN BELITZKY,0,0,1,0,0,0,0,0,0,0,0,0,0
ROCHESTER-TIM KWAN,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-EDDIE MOLINA,0,0,2,0,0,0,0,0,0,1,0,0,0
TEXAS-HALLIE PACE,0,0,1,0,0,0,0,0,0,0,0,0,0
TEXAS-MICHAEL JOHNSTON,0,0,0,0,1,0,0,0,0,0,0,0,0
TEXAS-SOPHIA DESALVO,0,1,0,0,0,0,0,0,0,0,0,0,0
TEXAS-TATE KAY,0,0,0,0,0,0,0,0,0,1,0,0,0
TEXAS-AUSTIN DICKSON,0,0,0,0,1,1,0,0,0,0,0,0,0
